topic_id,cv_score,size,top_words,word_weights
103,0.7006670217196617,86,"pr, proportional, system, post, electoral, past, voting, representation, votes, elections","0.019, 0.017, 0.017, 0.015, 0.014, 0.013, 0.013, 0.011, 0.011, 0.011"
104,0.6894031498743264,85,"bank, rbs, branches, banking, branch, banks, customers, closures, nat, communities","0.048, 0.048, 0.035, 0.035, 0.030, 0.020, 0.019, 0.014, 0.011, 0.010"
105,0.6280775937917321,84,"article, vote, 50, deal, agreement, parliament, european, withdrawal, meaningful, negotiations","0.018, 0.015, 0.015, 0.014, 0.012, 0.010, 0.010, 0.009, 0.007, 0.007"
106,0.31247758369071305,81,"aerospace, defence, bae, aircraft, hawk, industry, arrows, systems, typhoon, capability","0.028, 0.028, 0.022, 0.016, 0.013, 0.012, 0.012, 0.011, 0.010, 0.009"
107,0.8961475264288004,81,"whirlpool, product, tumble, safety, electrical, recall, fire, dryers, dryer, recalls","0.044, 0.026, 0.023, 0.018, 0.016, 0.015, 0.015, 0.015, 0.013, 0.012"
108,0.8610436395908292,80,"dental, tooth, decay, teeth, oral, dentist, children, dentists, nhs, health","0.041, 0.032, 0.026, 0.024, 0.023, 0.023, 0.018, 0.017, 0.015, 0.015"
109,0.8182050254062445,79,"blood, contaminated, inquiry, hepatitis, haemophilia, scandal, infected, products, affected, kingston","0.032, 0.022, 0.017, 0.014, 0.012, 0.011, 0.011, 0.008, 0.007, 0.006"
110,0.4804533161235226,79,"ofcom, merger, broadcasting, plurality, fox, media, sky, representations, decision, minded","0.039, 0.029, 0.028, 0.024, 0.021, 0.019, 0.017, 0.016, 0.014, 0.014"
111,0.4595077832560685,78,"information, documents, select, committee, motion, sensitive, reports, material, publication, negotiating","0.024, 0.018, 0.018, 0.014, 0.014, 0.012, 0.010, 0.010, 0.007, 0.007"
112,0.5090720528540683,78,"16, olds, voting, age, 17, vote, young, votes, 18, politics","0.036, 0.029, 0.024, 0.021, 0.021, 0.016, 0.013, 0.012, 0.011, 0.011"
113,0.5564722955302848,77,"workers, rights, directive, unions, employment, trade, union, law, enhance, taylor","0.042, 0.033, 0.015, 0.011, 0.009, 0.009, 0.009, 0.008, 0.008, 0.007"
114,0.2710778887141151,76,"holocaust, auschwitz, memorial, semitism, anti, jewish, nazis, jews, birkenau, trust","0.053, 0.017, 0.017, 0.014, 0.012, 0.011, 0.009, 0.008, 0.007, 0.007"
115,0.6328411601385006,76,"accommodation, personnel, model, service, families, forces, armed, survey, fam, housing","0.028, 0.022, 0.014, 0.013, 0.013, 0.011, 0.010, 0.010, 0.010, 0.008"
116,0.7550701827563828,75,"sex, education, relationships, sre, schools, pshe, children, teach, parents, sexual","0.029, 0.022, 0.022, 0.020, 0.019, 0.013, 0.013, 0.012, 0.011, 0.010"
117,0.9530910643524186,75,"gambling, betting, stake, terminals, fobts, machines, odds, gamblers, fixed, stakes","0.080, 0.036, 0.024, 0.024, 0.023, 0.022, 0.019, 0.016, 0.015, 0.015"
118,0.4067748035687065,74,"friend, agree, makes, point, hon, my, completely, absolutely, entirely, right","0.045, 0.044, 0.034, 0.033, 0.030, 0.027, 0.024, 0.021, 0.018, 0.018"
119,0.3348358676507696,74,"steel, industry, sector, tata, liberty, energy, deal, profiles, british, uk","0.094, 0.028, 0.015, 0.009, 0.007, 0.007, 0.007, 0.007, 0.006, 0.005"
120,0.5348340474899509,74,"medicines, ema, drugs, pharmaceutical, patients, regulatory, agency, regulation, mhra, eu","0.029, 0.025, 0.017, 0.016, 0.011, 0.009, 0.008, 0.008, 0.008, 0.007"
121,0.8304734722905837,74,"milk, sugar, drinks, obesity, levy, sugary, childhood, children, soft, school","0.033, 0.033, 0.032, 0.028, 0.021, 0.013, 0.012, 0.012, 0.011, 0.010"
122,0.2267150134856078,73,"order, speaker, mr, point, germane, on, howarth, bone, spearker, colon","0.292, 0.191, 0.157, 0.138, 0.036, 0.026, 0.016, 0.016, 0.016, 0.014"
123,0.3586733244132348,71,"give, way, right, friend, my, hon, learned, will, trouble, before","0.185, 0.143, 0.096, 0.096, 0.055, 0.051, 0.049, 0.037, 0.009, 0.006"
124,0.23782264389451843,70,"gibraltar, spain, kingdom, united, british, negotiations, gibraltarians, eu, interests, crown","0.112, 0.013, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005"
125,0.4236811437352973,70,"hiv, aids, health, treatment, commissioning, diagnosed, sexual, services, prep, testing","0.068, 0.029, 0.011, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007"
